,0,1,2,3
0,EC-Earth3-Veg,54.98924572414822,49.608922191196015,45.37375036875407
1,ACCESS-CM2,65.5816320906745,57.621941553751626,51.643828296661376
2,CNRM-CM6-1,50.475369182162815,45.00952119403415,40.24235897064209
3,HadGEM3-GC31-LL,54.183259677886966,48.964084430270724,43.62015176773071
4,MPI-ESM1-2-HR,48.931759975221425,38.8072808265686,40.09577779769897
5,CNRM-ESM2-1,48.994195781283906,43.39936587995953,39.095008756143095
6,IPSL-CM6A-LR,52.03156273523967,46.283442685869005,39.56183042526245
7,UKESM1-0-LL,54.64326511171129,45.743228387832644,43.25891872406006
8,BCC-CSM2-MR,46.079292738986965,42.3684528635575,38.76812385524905
9,NESM3,25.00951611995697,21.711159297625223,19.519536420504252
10,BCC-ESM1,54.93187279595269,47.579748697891404,41.65174410358959
11,ACCESS-ESM1-5,71.75361367755465,62.254536397722035,56.57230852762858
