,0,1,2
0,AWI-CM-1-1-MR,1pctCO2,rtmt
1,BCC-CSM2-MR,1pctCO2,rtmt
2,CAMS-CSM1-0,1pctCO2,rtmt
3,CAMS-CSM1-0,1pctCO2,mlotst
4,CAMS-CSM1-0,abrupt-4xCO2,mlotst
5,CAS-ESM2-0,1pctCO2,tos
6,CAS-ESM2-0,1pctCO2,ts
7,CAS-ESM2-0,1pctCO2,rtmt
8,CAS-ESM2-0,abrupt-4xCO2,tos
9,CAS-ESM2-0,abrupt-4xCO2,ts
10,CESM2,1pctCO2,rtmt
11,CESM2,1pctCO2,mlotst
12,CESM2-FV2,1pctCO2,tos
13,CESM2-FV2,1pctCO2,ts
14,CESM2-WACCM,1pctCO2,rtmt
15,CESM2-WACCM,1pctCO2,mlotst
16,CESM2-WACCM,abrupt-4xCO2,mlotst
17,CESM2-WACCM-FV2,1pctCO2,tos
18,CESM2-WACCM-FV2,1pctCO2,ts
19,CNRM-CM6-1,1pctCO2,rtmt
20,CNRM-ESM2-1,1pctCO2,rtmt
21,CanESM5,abrupt-4xCO2,mlotst
22,E3SM-1-0,abrupt-4xCO2,tos
23,E3SM-1-0,abrupt-4xCO2,ts
24,E3SM-1-0,abrupt-4xCO2,mlotst
25,EC-Earth3,1pctCO2,tos
26,EC-Earth3,1pctCO2,ts
27,EC-Earth3,1pctCO2,mlotst
28,EC-Earth3,abrupt-4xCO2,tos
29,EC-Earth3,abrupt-4xCO2,ts
30,EC-Earth3,abrupt-4xCO2,mlotst
31,FGOALS-f3-L,1pctCO2,tos
32,FGOALS-f3-L,1pctCO2,ts
33,FGOALS-f3-L,1pctCO2,rtmt
34,FGOALS-f3-L,abrupt-4xCO2,tos
35,FGOALS-f3-L,abrupt-4xCO2,ts
36,FGOALS-g3,1pctCO2,tos
37,FGOALS-g3,1pctCO2,ts
38,FGOALS-g3,1pctCO2,mlotst
39,FGOALS-g3,abrupt-4xCO2,tos
40,FGOALS-g3,abrupt-4xCO2,ts
41,FGOALS-g3,abrupt-4xCO2,mlotst
42,FGOALS-g3,piControl,tos
43,FGOALS-g3,piControl,mlotst
44,GFDL-CM4,piControl,mlotst
45,GISS-E2-2-G,1pctCO2,rtmt
46,GISS-E2-2-G,1pctCO2,mlotst
47,HadGEM3-GC31-MM,1pctCO2,tos
48,HadGEM3-GC31-MM,1pctCO2,mlotst
49,HadGEM3-GC31-MM,abrupt-4xCO2,tos
50,HadGEM3-GC31-MM,abrupt-4xCO2,mlotst
51,INM-CM4-8,1pctCO2,tos
52,INM-CM4-8,1pctCO2,ts
53,INM-CM4-8,1pctCO2,mlotst
54,INM-CM4-8,abrupt-4xCO2,tos
55,INM-CM4-8,abrupt-4xCO2,ts
56,INM-CM4-8,abrupt-4xCO2,mlotst
57,INM-CM5-0,1pctCO2,tos
58,INM-CM5-0,1pctCO2,ts
59,INM-CM5-0,1pctCO2,mlotst
60,INM-CM5-0,abrupt-4xCO2,tos
61,INM-CM5-0,abrupt-4xCO2,ts
62,INM-CM5-0,abrupt-4xCO2,mlotst
63,IPSL-CM6A-LR,1pctCO2,rtmt
64,MCM-UA-1-0,1pctCO2,mlotst
65,MCM-UA-1-0,abrupt-4xCO2,mlotst
66,MIROC-ES2L,1pctCO2,mlotst
67,MIROC-ES2L,abrupt-4xCO2,mlotst
68,MIROC6,1pctCO2,mlotst
69,MIROC6,abrupt-4xCO2,mlotst
70,MPI-ESM-1-2-HAM,piControl,tos
71,MPI-ESM1-2-HR,1pctCO2,tos
72,MPI-ESM1-2-HR,1pctCO2,rtmt
73,MPI-ESM1-2-HR,piControl,tos
74,MPI-ESM1-2-LR,1pctCO2,tos
75,MPI-ESM1-2-LR,1pctCO2,rtmt
76,MPI-ESM1-2-LR,piControl,tos
77,MPI-ESM1-2-LR,piControl,mlotst
78,MRI-ESM2-0,1pctCO2,rtmt
79,MRI-ESM2-0,abrupt-4xCO2,mlotst
80,NESM3,1pctCO2,rtmt
81,NorCPM1,abrupt-4xCO2,tos
82,NorCPM1,piControl,tos
83,NorCPM1,piControl,mlotst
84,NorESM2-LM,1pctCO2,tos
85,NorESM2-LM,1pctCO2,ts
86,NorESM2-LM,1pctCO2,mlotst
87,NorESM2-LM,abrupt-4xCO2,tos
88,NorESM2-MM,1pctCO2,tos
89,NorESM2-MM,abrupt-4xCO2,tos
90,GFDL-CM4,piControl,ts
91,GFDL-ESM4,piControl,ts
